token,importance
</s>,13.70081
▁stadium,3.5371327
▁concert,2.7005274
▁,2.1319718
▁singer,2.1002984
▁concert,2.00416
▁,1.9527599
▁,1.8548173
▁singer,1.8040954
▁,1.7370074
▁stadium,1.7202138
▁,1.7200712
▁singer,1.556441
▁,1.5181637
▁,1.5017493
▁,1.4090126
?,1.2337909
▁France,1.2331705
▁concert,1.2148623
▁concert,1.1700032
i,1.1526347
▁singer,1.1341178
▁maximum,1.1146027
▁,1.1115986
▁year,1.1090095
▁song,1.0913744
▁minimum,1.0840709
COL,0.99609363
▁country,0.9627064
▁,0.929493
",",0.90848494
▁T,0.8786371
▁average,0.87183243
▁the,0.85545945
▁age,0.8497565
▁in,0.83762294
COL,0.83324134
i,0.81891435
▁and,0.81328493
▁average,0.7858612
▁stadium,0.782797
▁release,0.7399045
UM,0.73658055
ABLE,0.7317194
▁song,0.7308881
d,0.7271518
▁singer,0.71912503
▁T,0.7163353
ABLE,0.69276834
i,0.69135964
▁name,0.6880634
▁T,0.6357642
▁of,0.594222
▁What,0.58020025
▁T,0.57881135
▁from,0.567983
▁lowest,0.5660751
NS,0.5566839
▁concert,0.5531927
▁all,0.54934055
UM,0.53948784
▁age,0.5197024
▁year,0.5173015
COL,0.5080688
▁male,0.4990837
▁is,0.4905378
i,0.47523686
▁name,0.47501153
NS,0.45914155
COL,0.45307356
i,0.42867774
▁is,0.42214593
d,0.4095415
i,0.39766046
",",0.37409252
▁location,0.37297636
UM,0.36199564
ABLE,0.347338
▁highest,0.3437616
d,0.3327223
UM,0.32286125
▁capacity,0.31563312
▁theme,0.30859607
ABLE,0.30506262
s,0.26517352
d,0.2614625
▁name,0.2586374
NS,0.25839
NS,0.2534265
▁name,0.2405329
d,0.21430738
d,0.18953955
