token,importance
</s>,13.492386
▁stadium,3.7232063
▁concert,3.3361456
▁concert,2.1568134
▁singer,2.0421965
▁,1.9377444
▁,1.8647448
▁singer,1.8485237
▁stadium,1.8419429
▁,1.7541544
▁singer,1.6432747
▁,1.6362774
▁,1.5636122
▁,1.5511413
▁countries,1.5454557
▁,1.4441847
▁singer,1.4378216
▁,1.414888
▁,1.3428807
▁concert,1.3182615
▁,1.2657619
▁concert,1.2014937
▁song,1.1626735
▁country,1.1561509
?,1.1502017
▁names,1.1360871
▁year,1.1110659
i,1.0985044
▁,1.0152785
▁T,0.96307766
COL,0.9421876
▁order,0.88127023
▁age,0.84579843
ages,0.8454224
COL,0.8388109
▁and,0.82646126
▁in,0.81334853
▁every,0.7996416
▁stadium,0.79691225
▁,0.7915432
i,0.78119403
▁T,0.7540324
▁the,0.7507692
d,0.7473109
ABLE,0.7461846
▁singer,0.7311052
",",0.7307356
ABLE,0.7101276
▁name,0.7044386
▁age,0.69551706
i,0.6798364
descending,0.673359
▁release,0.663301
▁in,0.65771407
UM,0.6501996
▁song,0.6415093
▁concert,0.6259852
▁T,0.6155319
▁T,0.5535543
▁What,0.54389894
UM,0.54073054
NS,0.5339475
▁for,0.52826494
COL,0.47767392
▁are,0.47436333
▁male,0.4605296
▁lowest,0.45754215
▁year,0.45161763
NS,0.4455254
COL,0.44397044
▁average,0.43197212
i,0.43050784
▁of,0.4294803
▁is,0.41395944
▁name,0.41302663
i,0.3981846
i,0.39242798
▁location,0.3850833
ABLE,0.3729932
d,0.3505542
d,0.3436124
UM,0.3199643
UM,0.31197676
▁theme,0.31107038
ABLE,0.30579704
▁name,0.28166324
▁capacity,0.27662036
NS,0.25342786
▁name,0.2508575
NS,0.24347301
d,0.24122563
▁highest,0.23863113
",",0.20576872
d,0.19505183
d,0.19485496
