token,importance
</s>,12.466108
▁stadium,3.8163836
▁concert,2.505826
▁singer,2.1088388
▁singer,2.0319474
▁singer,1.9675955
▁concert,1.9556131
▁,1.9454123
▁,1.8303704
▁,1.743137
?,1.7293988
▁stadium,1.7024823
▁,1.6121266
▁,1.5694703
▁,1.4970951
▁,1.3599352
▁,1.3063854
▁singer,1.3054
▁concert,1.2090726
▁concert,1.1589618
COL,1.0887587
▁singer,1.0612003
i,1.0537987
ABLE,1.0072346
▁,0.99417603
▁many,0.9728349
▁in,0.93858355
▁How,0.9260423
▁T,0.91825545
COL,0.89877
▁song,0.8848289
i,0.82237154
▁T,0.8154191
▁,0.81532544
▁stadium,0.78269905
▁T,0.77079695
▁country,0.7420442
i,0.7251684
UM,0.72415346
▁T,0.7145834
▁we,0.6345231
ABLE,0.61528414
UM,0.60165405
▁concert,0.581911
▁release,0.5574468
▁year,0.54699993
COL,0.5328773
i,0.5328697
▁song,0.5279248
▁age,0.52655214
d,0.517175
▁capacity,0.511767
▁average,0.50494826
NS,0.49588114
d,0.494988
▁name,0.4933033
▁lowest,0.4901834
▁do,0.48587877
NS,0.47346964
▁male,0.46827015
COL,0.45626432
i,0.45572197
▁year,0.44976938
▁have,0.44144088
▁location,0.4277059
▁name,0.40980294
i,0.40781012
ABLE,0.36746556
UM,0.36665165
▁theme,0.36237547
d,0.35956347
s,0.3413596
UM,0.33314556
▁highest,0.31777182
ABLE,0.31240228
▁name,0.2971708
d,0.29272762
▁name,0.29015374
▁is,0.2827651
NS,0.26306444
NS,0.25406426
d,0.24144568
d,0.19684444
