token,importance
</s>,12.507487
▁stadium,3.4304514
▁concert,2.6857188
▁singer,2.104458
▁singer,2.0068495
▁concert,1.9952418
▁,1.9839171
▁singer,1.9038861
▁,1.8473709
▁,1.837202
?,1.8278168
▁,1.6748617
▁,1.5619885
▁stadium,1.54762
▁,1.4889642
▁,1.3837014
▁,1.302597
▁concert,1.3007412
▁singer,1.2724978
▁concert,1.2704798
i,1.1493584
▁,1.072075
▁singer,1.0708815
▁total,1.0643758
COL,1.043766
ABLE,1.0117859
▁T,0.954922
COL,0.9324047
▁song,0.92575866
▁in,0.92028606
▁,0.8823292
i,0.8344304
▁T,0.8321193
▁T,0.8283548
▁country,0.8079347
▁stadium,0.78752637
i,0.76592726
▁What,0.7251601
▁the,0.7042046
UM,0.6827103
▁T,0.63052344
ABLE,0.62791365
UM,0.61519676
d,0.60649925
▁release,0.59955996
▁year,0.5989294
▁is,0.58820105
▁concert,0.5864466
▁of,0.5799638
▁name,0.55587983
▁song,0.5477211
▁age,0.5109088
NS,0.5027903
▁number,0.5023597
i,0.50161564
NS,0.49535334
▁lowest,0.47964084
▁year,0.47024575
i,0.46868035
COL,0.46854803
▁average,0.46775687
▁name,0.45881557
d,0.45492706
COL,0.45066807
ABLE,0.42905626
▁male,0.42227092
i,0.4206505
▁location,0.40382826
d,0.37052047
▁theme,0.3578148
UM,0.33406612
UM,0.3268442
d,0.31497356
▁name,0.30178347
s,0.3015066
▁capacity,0.29836354
▁highest,0.27747163
ABLE,0.27645233
▁is,0.27028576
NS,0.2627405
▁name,0.25275978
NS,0.23559578
d,0.23449688
d,0.20920716
