db_id,question,is_original,gold_sql,pred_sql,exact_match,bleu_score,char_similarity
flight_company,which countries have more than 2 airports?,True,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT country FROM airport GROUP BY country HAVING count(*) > 2,True,1.0,1.0
flight_company,'Which countries have more than 3 airports?',False,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT country FROM airport GROUP BY country HAVING count(*) > 3,False,0.8931539818068694,0.984375
flight_company,,False,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT name FROM airport WHERE id IN ( SELECT company_id FROM flight );,False,0.036362270465000714,0.4925373134328358
flight_company,What is the airport number for the airline that flies in your country?,False,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT T1.id FROM airport AS T1 JOIN flight AS T2 ON T1.id = T2.airport_id,False,0.03342866121562732,0.43478260869565216
flight_company,"If you have a country with 2 airports (in the United States, Canada, Australia, New Zealand, Russia, China, and so on), you may get the following results: ""Which countries have more than 2 airports?"".",False,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT country FROM airport GROUP BY country HAVING count(*) > 2,True,1.0,1.0
flight_company,How many people are there in the country in which they work?,False,SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,SELECT count(*) FROM airport,False,0.03511129470504232,0.5434782608695652
department_store,What are id and name of the products whose price is lower than 600 or higher than 900?,True,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900","SELECT product_id, product_name FROM products WHERE product_price  600 OR product_price > 900",False,0.5496509142160036,0.983957219251337
department_store,'What is the price of a certain product?',False,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900",SELECT product_price FROM products,False,0.016585401242094684,0.5116279069767442
department_store,'Which are the products whose price is lower than 600 or higher than 900?',False,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900",SELECT product_name FROM products WHERE product_price  600 OR product_price > 900,False,0.5470767187585457,0.9142857142857143
department_store,Name the items.,False,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900",SELECT item_name FROM items,False,0.007842752028330948,0.3770491803278688
department_store,"In a store, 'What is the best price for the items?'. Generate 5 different ways to ask the same question:",False,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900",SELECT DISTINCT product_price FROM products,False,0.022335188335443845,0.4927536231884058
department_store,'What are the prices of the products from which the prices of the products have been lowered by the lowest price?'.,False,"SELECT product_id ,  product_name FROM products WHERE product_price  <  600 OR product_price  >  900",SELECT product_price FROM products ORDER BY product_price LIMIT 1,False,0.03658662442386339,0.6625
decoration_competition,Show the leader names and locations of colleges.,True,"SELECT Leader_Name ,  College_Location FROM college","SELECT Leader_Name, College_Location FROM college",False,0.23394743548827707,0.98989898989899
